Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-10-01,85.1968,86.4188,84.1279,85.3307,358503.62360248
2018-10-02,84.8916,86.6297,83.7456,86.3043,503317.56269919
2018-10-03,86.5152,87.221,86.1521,86.3235,240674.65450546
2018-10-04,86.1896,86.3428,84.6046,84.6046,329154.11975035
2018-10-05,84.6239,84.8723,82.3127,82.9627,445451.38597854
2018-10-08,82.7528,83.7456,82.0267,82.8674,314674.07581609
2018-10-09,84.3754,85.1775,82.6189,83.3441,404142.13843802
2018-10-10,83.994,84.0316,81.4537,81.6444,387379.59761854
2018-10-11,80.0979,81.5105,77.4429,80.7854,1238890.087117
2018-10-12,81.6444,83.4211,81.0145,81.5491,564181.72327227
2018-10-15,81.9313,81.9506,79.8302,80.0025,499361.09630579
2018-10-16,80.9761,82.6757,79.8302,80.1171,1222728.8045762
2018-10-17,80.7854,81.5105,79.7347,80.4031,578421.88696063
2018-10-18,79.8494,80.6708,79.2572,80.3656,369418.69401219
2018-10-19,80.2317,80.8615,79.3525,80.8239,319962.86409472
2018-10-22,81.6829,82.2944,81.0339,81.8736,365399.92106141
2018-10-23,80.9761,81.3006,79.105,79.2003,528165.41778087
2018-10-24,79.7347,80.0025,78.7795,79.2572,302613.60319328
2018-10-25,78.6467,80.3463,77.6528,79.7541,538732.6099119
2018-10-26,79.5441,79.8494,78.5888,79.0087,562291.75769852
2018-10-29,79.4488,81.7397,79.3525,80.3463,502283.27384674
2018-10-30,80.7854,81.6251,80.1547,80.8807,579522.63614094
2018-10-31,81.186,84.0133,80.9,82.9627,994497.80802147
2018-11-02,85.8651,87.2788,85.8458,86.1896,1263533.369002
2018-11-05,85.5599,86.8589,84.8916,86.2667,481888.26073222
2018-11-06,86.1328,86.2282,84.2232,85.14,369836.14794661
2018-11-07,85.3692,87.8517,85.1207,86.6866,607906.38835374
2018-11-08,86.8964,87.0881,85.1014,86.8589,519620.07343671
2018-11-09,85.4645,86.5527,84.6431,85.2728,516166.21327281
2018-11-13,85.2728,93.543,84.9869,88.8061,1877370.3031754
2018-11-14,88.7685,88.7877,87.0881,87.0881,448684.05786375
2018-11-15,86.8964,87.8517,85.2161,85.9422,636895.5526157
2018-11-16,86.7058,88.1185,85.9422,87.0881,573436.3239279
2018-11-19,87.1064,88.4247,85.8458,87.1257,520163.17892851
2018-11-20,86.6105,86.6297,84.6046,84.8145,764723.685729
2018-11-21,85.4067,86.7819,85.2546,86.5527,585702.40819005
2018-11-22,86.5152,87.221,85.1968,87.0688,319309.68368489
2018-11-23,86.6673,87.0303,85.0061,85.8843,265881.81073468
2018-11-26,85.5599,86.4766,83.841,84.1279,421432.20810996
2018-11-27,84.204,85.0822,82.9242,83.3633,448734.94155227
2018-11-28,84.2425,86.1328,84.1087,85.8458,483542.49983056
2018-11-29,86.5152,87.3549,85.6552,86.2089,572395.80441971
2018-11-30,86.2089,86.2089,85.2728,85.6745,732296.23794248
2018-12-03,87.8517,90.3344,87.5648,89.2837,1139018.9062985
2018-12-04,88.7492,89.1883,87.794,88.4247,654254.15950075
2018-12-05,87.4694,88.2331,86.7058,87.8517,398441.08843809
2018-12-06,86.8964,87.221,85.2728,85.2922,705887.60359852
2018-12-07,85.8651,86.1328,84.1279,84.9869,654399.54146796
2018-12-10,84.4525,84.6816,81.9313,81.9313,505980.1295844
2018-12-11,82.7528,83.9363,82.3127,83.1727,570113.30753449
2018-12-12,83.6502,84.9484,83.1727,84.9484,448723.51868342
2018-12-13,85.4645,86.8589,85.1775,86.3235,631811.33753379
2018-12-14,85.1775,86.4381,84.1848,86.4381,581100.03048519
2018-12-17,85.8458,86.8011,85.5021,85.7313,439436.72630647
2018-12-18,85.4838,85.5405,83.7649,84.9108,483062.73933876
2018-12-19,84.7962,86.6297,84.7962,85.636,561996.8399936
